Date,Participant,Session,Block,Trial,Target,Stimulus,Stimulus Color,Reaction Time,stimulus presentation,blank presentation,jitter
20170201,122,1,2,20,T,D,black,0.0,0.4,0.1,0.12192218570978837
20170201,122,1,2,21,T,f,black,0.0,0.4,0.1,0.16219603874893326
20170201,122,1,2,22,T,t,magenta,0.0,0.4,0.1,0.1657852358430841
20170201,122,1,2,23,T,R,black,0.0,0.4,0.1,0.07873731678294615
20170201,122,1,2,24,T,Q,magenta,0.57987809181213379,0.4,0.1,0.0779752902420689
20170201,122,1,2,25,T,T,red,0.0,0.4,0.1,0.021376804290907405
20170201,122,1,2,26,T,R,red,0.0,0.4,0.1,0.15161416507419417
20170201,122,1,2,27,T,f,yellow,0.0,0.4,0.1,0.19919098091787174
20170201,122,1,2,28,T,d,yellow,0.0,0.4,0.1,0.17046402309506936
20170201,122,1,2,29,T,x,cyan,0.0,0.4,0.1,0.002039940102750215
20170201,122,1,3,0,X,X,red,0.0,0.4,0.1,0.10857781646060781
20170201,122,1,3,1,X,P,magenta,0.0,0.4,0.1,0.05315141388982452
20170201,122,1,3,2,X,p,magenta,0.0,0.4,0.1,0.12795822586025207
20170201,122,1,3,3,X,t,black,0.47965312004089355,0.4,0.1,0.1281925319856781
20170201,122,1,3,4,X,g,magenta,0.51353001594543457,0.4,0.1,0.16714340645407336
20170201,122,1,3,5,X,D,magenta,0.0,0.4,0.1,0.03236224258424789
20170201,122,1,3,6,X,R,magenta,0.0,0.4,0.1,0.18876320784135217
20170201,122,1,3,7,X,S,black,0.0,0.4,0.1,0.06919723347041727
20170201,122,1,3,8,X,w,red,0.0,0.4,0.1,0.06444121850845119
20170201,122,1,3,9,X,S,black,0.42997217178344727,0.4,0.1,0.11855911944525593
20170201,122,1,3,10,X,Q,red,0.0,0.4,0.1,0.19977260281403186
20170201,122,1,3,11,X,D,magenta,0.0,0.4,0.1,0.032534998751686195
20170201,122,1,3,12,X,F,red,0.0,0.4,0.1,0.11747541407255034
20170201,122,1,3,13,X,S,magenta,0.0,0.4,0.1,0.1239217284199679
20170201,122,1,3,14,X,d,cyan,0.0,0.4,0.1,0.1228064976870634
20170201,122,1,3,15,X,a,black,0.0,0.4,0.1,0.09467378956388672
20170201,122,1,3,16,X,d,magenta,0.0,0.4,0.1,0.19413038414620049
20170201,122,1,3,17,X,f,red,0.0,0.4,0.1,0.0005497699961094727
20170201,122,1,3,18,X,S,yellow,0.0,0.4,0.1,0.1480124410872252
20170201,122,1,3,19,X,q,cyan,0.0,0.4,0.1,0.12782674479709524
20170201,122,1,3,20,X,D,red,0.0,0.4,0.1,0.09237365679253401
20170201,122,1,3,21,X,H,red,0.0,0.4,0.1,0.17446535617931833
20170201,122,1,3,22,X,W,yellow,0.0,0.4,0.1,0.18031867004925156
20170201,122,1,3,23,X,a,magenta,0.0,0.4,0.1,0.17847589268515004
20170201,122,1,3,24,X,a,cyan,0.57987809181213379,0.4,0.1,0.06378836823958754
20170201,122,1,3,25,X,w,black,0.0,0.4,0.1,0.1962011615521461
20170201,122,1,3,26,X,a,cyan,0.0,0.4,0.1,0.0554651681629964
20170201,122,1,3,27,X,R,red,0.0,0.4,0.1,0.016666078310757882
20170201,122,1,3,28,X,X,magenta,0.51292991638183594,0.4,0.1,0.16320917237886762
20170201,122,1,3,29,X,X,yellow,0.46328282356262207,0.4,0.1,0.07871220639486774
20170201,122,1,4,0,A,s,yellow,0.0,0.4,0.1,0.19866564409056287
20170201,122,1,4,1,A,S,yellow,0.0,0.4,0.1,0.14839231660707522
20170201,122,1,4,2,A,d,red,0.0,0.4,0.1,0.09084018334429234
20170201,122,1,4,3,A,f,black,0.47965312004089355,0.4,0.1,0.11121745339772804
20170201,122,1,4,4,A,D,magenta,0.51353001594543457,0.4,0.1,0.19573143383025074
20170201,122,1,4,5,A,X,red,0.0,0.4,0.1,0.15275054383159162
20170201,122,1,4,6,A,X,red,0.0,0.4,0.1,0.02167137741246581
20170201,122,1,4,7,A,q,magenta,0.0,0.4,0.1,0.06763158229630235
20170201,122,1,4,8,A,S,magenta,0.0,0.4,0.1,0.0003206980966407258
20170201,122,1,4,9,A,g,yellow,0.42997217178344727,0.4,0.1,0.1756972227112354
20170201,122,1,4,10,A,g,yellow,0.0,0.4,0.1,0.1462631379166483
20170201,122,1,4,11,A,x,magenta,0.0,0.4,0.1,0.028484080418238
20170201,122,1,4,12,A,w,yellow,0.0,0.4,0.1,0.049170006571716024
20170201,122,1,4,13,A,G,cyan,0.0,0.4,0.1,0.15901477271091746
20170201,122,1,4,14,A,a,cyan,0.0,0.4,0.1,0.02918658849884308
